#Site, 0 0 0 0
chacaltaya 1.49189 0.215206 0.0490788 1.77424
quito 0.395885 0.137472 0.0114368 0.5481
guatemala 0.217593 0.11373 0.00505148 0.33768
bucaramanga 0.158086 0.10103 0.00293643 0.262817
marambio 0.110437 0.100008 0.00206654 0.212973
lima 0.107776 0.0898608 0.00152661 0.199506
laserena 0.105842 0.0887758 0.00142386 0.196315
buenosaires 0.106008 0.0901161 0.00149023 0.197911
